Name,URL
Bintang Doctor Strange Dipenjara 8 Tahun Atas Pelecehan Seksual Anak,https://hot.detik.com/movie/d-6081008/bintang-doctor-strange-dipenjara-8-tahun-atas-pelecehan-seksual-anak
KemenPPPA Minta Pelaku Penculikan 12 Anak di Bogor-Jaksel Dihukum Tegas,https://news.detik.com/berita/d-6078772/kemenpppa-minta-pelaku-penculikan-12-anak-di-bogor-jaksel-dihukum-tegas
Akhir Pelarian Sopir Angkot Pembunuh Teman Kencan Gegara Kurang Bayaran,https://news.detik.com/berita/d-6078325/akhir-pelarian-sopir-angkot-pembunuh-teman-kencan-gegara-kurang-bayaran
Polisi Telusuri Korban Lain Kasus Pria Cabuli 4 Bocah Tetangga di Kendari,https://www.detik.com/sulsel/hukum-dan-kriminal/d-6078106/polisi-telusuri-korban-lain-kasus-pria-cabuli-4-bocah-tetangga-di-kendari
Ketua DPRD Surabaya Dorong Perluasan Kiprah Perempuan,https://www.detik.com/jatim/berita/d-6078055/ketua-dprd-surabaya-dorong-perluasan-kiprah-perempuan
Nadiem Bicara Capaian Merdeka Belajar Genjot Mutu Pendidikan RI,https://www.detik.com/edu/edutainment/d-6077300/nadiem-bicara-capaian-merdeka-belajar-genjot-mutu-pendidikan-ri
Kronologi Sopir Angkot Bunuh Teman Kencan di Bogor Gegara Kurang Bayar,https://news.detik.com/berita/d-6077198/kronologi-sopir-angkot-bunuh-teman-kencan-di-bogor-gegara-kurang-bayar
"Cabuli 4 Bocah Tetangga, Pria di Kendari Ditangkap Polisi",https://www.detik.com/sulsel/hukum-dan-kriminal/d-6077119/cabuli-4-bocah-tetangga-pria-di-kendari-ditangkap-polisi
"Usai Bunuh Teman Kencan, Sopir Angkot di Bogor Rampas HP-Duit Korban",https://news.detik.com/berita/d-6077080/usai-bunuh-teman-kencan-sopir-angkot-di-bogor-rampas-hp-duit-korban
